EVT,GROUPVEG,ACRES
Current Agricultural,Past Conifer,16331
Current Agricultural,Past Hardwood,3982
Current Agricultural,Past Hardwood-Conifer,3718
Current Agricultural,Past Riparian,2721
Current Conifer,Past Conifer,75859
Current Conifer,Past Grassland,63
Current Conifer,Past Hardwood,10131
Current Conifer,Past Hardwood-Conifer,35615
Current Conifer,Past Riparian,17932
Current Conifer-Hardwood,Past Conifer,1772
Current Conifer-Hardwood,Past Grassland,0
Current Conifer-Hardwood,Past Hardwood,642
Current Conifer-Hardwood,Past Hardwood-Conifer,1134
Current Conifer-Hardwood,Past Riparian,233
Developed,Past Conifer,19879
Developed,Past Grassland,1
Developed,Past Hardwood,8793
Developed,Past Hardwood-Conifer,11857
Developed,Past Riparian,5267
Exotics,Past Conifer,7256
Exotics,Past Hardwood,3053
Exotics,Past Hardwood-Conifer,3304
Exotics,Past Riparian,3739
Current Grassland,Past Conifer,5
Current Grassland,Past Hardwood,25
Current Grassland,Past Hardwood-Conifer,13
Current Grassland,Past Riparian,7
Current Hardwood,Past Conifer,259567
Current Hardwood,Past Grassland,2
Current Hardwood,Past Hardwood,127871
Current Hardwood,Past Hardwood-Conifer,110602
Current Hardwood,Past Riparian,65163
Current Riparian,Past Conifer,79830
Current Riparian,Past Grassland,17
Current Riparian,Past Hardwood,29665
Current Riparian,Past Hardwood-Conifer,17969
Current Riparian,Past Riparian,386511
