"","VALUE","Freq","LABEL","DESCRIPTION","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1,214611,"A","Succession Class A",161,99,51,0.631373,0.388235,0.2,47728,3
"2",2,1002592,"B","Succession Class B",56,168,0,0.219608,0.658824,0,222971,13.9
"3",3,1351883,"C","Succession Class C",201,222,171,0.788235,0.870588,0.670588,300652,18.8
"4",4,2152142,"D","Succession Class D",255,248,166,1,0.972549,0.65098,478625,29.9
"5",5,131363,"E","Succession Class E",0,74,77,0,0.290196,0.301961,29214,1.8
"6",6,629062,"UN","Uncharacteristic Native Vegetation Cover/Structure/Composition",160,0,0,0.627451,0,0,139900,8.7
"7",7,96783,"UE","Uncharacteristic Exotic Vegetation",255,0,0,1,0,0,21524,1.3
"8",111,1300756,"Water","Water",0,0,255,0,0,1,289281,18.1
"9",120,193786,"Developed","Developed",132,0,138,0.517647,0,0.541176,43097,2.7
"10",132,355,"Barren or Sparse","Barren or Sparse",191,191,191,0.74902,0.74902,0.74902,79,0
"11",180,120299,"Agriculture","Agriculture",223,115,255,0.87451,0.45098,1,26754,1.7
